Frame,Captura,Procesamiento,Tracking(ms),Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms)
1002,"0,00693","0,041944","85,342396","0,05238",82,"186,597463","1,040761"
1003,"0,010888","0,038978","80,493384","0,083242",82,"213,602178","0,981627"
1004,"0,005505","0,053495","78,587849","0,060301",81,"197,888909","0,97022"
1005,"0,013614","0,041088","76,345879","0,043735",79,"174,783269","0,966404"
1006,"0,011065","0,041906","62,358234","0,036173",78,"151,502389","0,799465"
1007,"0,005938","0,035412","54,150269","0,037711",79,"133,211038","0,685446"
1008,"0,005539","0,044027","55,625928","0,032777",79,"137,96907","0,704126"
1009,"0,010448","0,033538","56,943242","0,037983",77,"138,912892","0,739523"
1010,"0,010394","0,037133","60,80686","0,036743",77,"145,076659","0,789699"
1011,"0,008625","0,054445","55,951704","0,040399",76,"159,421122","0,736207"
1012,"0,005506","0,060667","58,016768","0,035318",78,"159,507719","0,743805"
1013,"0,00857","0,080775","52,798554","0,038051",78,"180,194549","0,676905"
1014,"0,005837","0,066674","57,424802","0,033241",77,"163,175837","0,745777"
1015,"0,010494","0,082251","51,166152","0,038985",81,"182,89622","0,631681"
1016,"0,010374","0,069546","54,481999","0,03433",77,"168,731286","0,707558"
1017,"0,009926","0,045344","52,903615","0,038504",76,"146,677665","0,6961"
1018,"0,007233","0,035879","55,59927","0,048342",77,"147,052853","0,722068"
1019,"0,007295","0,037003","57,100114","0,052982",75,"154,38026","0,761335"
1020,"0,00949","0,043177","60,023908","0,034653",75,"147,342882","0,800319"
1021,"0,008875","0,043612","55,983226","0,033964",77,"142,433516","0,727055"
1022,"0,006418","0,041868","56,109888","0,039929",77,"144,325131","0,7287"
1023,"0,015007","0,041925","59,124727","0,034287",77,"150,34396","0,767854"
1024,"0,007314","0,03625","52,79689","0,034273",77,"130,633117","0,685674"
1025,"0,006633","0,043659","53,998806","0,038144",78,"142,434829","0,692292"
1026,"0,005448","0,033352","56,048988","0,040364",80,"135,213089","0,700612"
1027,"0,008709","0,036979","56,570775","0,043708",77,"145,966302","0,734685"
1028,"0,011173","0,037404","65,547546","0,040584",80,"154,709397","0,819344"
1029,"0,006298","0,038957","64,913146","0,049362",79,"159,529862","0,821685"
1030,"0,00986","0,040252","66,441222","0,068517",80,"185,069639","0,830515"
1031,"0,00539","0,046623","85,554278","0,027094",81,"164,661001","1,056226"
1032,"0,009746","0,036559","70,530515","0,06562",81,"182,455908","0,870747"
1033,"0,009763","0,041447","90,035013","0,048235",79,"189,479171","1,139684"
