Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS
340,"0,008533","0,016604","0,009965","0,014178",5,"49,279054","1,992913",0
341,"0,005544","0,017538","0,006976","0,012732",5,"42,790142","1,39524",0
342,"0,006746","0,017638","0,00697","0,013559",5,"44,91421","1,394024",0
343,"0,007256","0,019362","0,010953","0,014404",5,"51,975054","2,190593",0
344,"0,009719","0,018549","0,009944","0,013838",5,"52,050194","1,988887",0
345,"0,00838","0,017343","0,008386","0,01446",5,"48,568845","1,677103",0
346,"0,007919","0,0168","0,011003","0,012739",5,"48,460647","2,200648",0
347,"0,006238","0,017521","0,009398","0,008693",5,"41,850481","1,879653",0
348,"0,00652","0,017513","0,01043","0,009129",5,"43,592419","2,086012",0
349,"0,00574","0,018597","0,009799","0,013383",5,"47,518907","1,959734",0
350,"0,006186","0,017245","0,007258","0,009381",5,"40,069533","1,451684",0
351,"0,005371","0,016705","0,011911","0,008303",5,"42,28935","2,382147",0
352,"0,006549","0,018839","0,009597","0,008775",6,"43,760459","1,599515",0
353,"0,005653","0,018595","0,006823","0,012317",6,"43,388698","1,137216",0
354,"0,006075","0,014761","0,011377","0,009454",6,"41,667817","1,896116",0
355,"0,007666","0,018526","0,008645","0,01037",6,"45,207248","1,44075",0
356,"0,005628","0,017579","0,007933","0,010959",6,"42,099837","1,322238",0
357,"0,006837","0,016067","0,008535","0,012191",6,"43,629797","1,422504",0
358,"0,005906","0,018662","0,008514","0,010535",5,"43,616965","1,702877",0
359,"0,005193","0,017426","0,007984","0,010538",5,"41,14136","1,59683",0
360,"0,005809","0,017654","0,009261","0,009495",5,"42,218306","1,852119",0
361,"0,007399","0,017672","0,009626","0,011857",6,"46,554959","1,60438",0
362,"0,007224","0,01827","0,008352","0,011879",6,"45,725959","1,39206",0
363,"0,005252","0,017206","0,012903","0,009624",6,"44,985604","2,150523",0
364,"0,008039","0,020224","0,00857","0,009078",6,"45,911824","1,42827",0
365,"0,005385","0,02252","0,009351","0,011408",6,"48,663858","1,558436",0
366,"0,005247","0,015771","0,012145","0,009275",6,"42,437581","2,02409",0
367,"0,006973","0,020016","0,011925","0,012845",6,"51,759524","1,987576",0
368,"0,006638","0,020918","0,01118","0,010707",6,"49,443351","1,863336",0
369,"0,00714","0,020136","0,012213","0,010429",6,"49,918157","2,035445",0
