Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms)
336,"0,005842","0,019242","0,009234","0,008445",5,"42,762396","1,846822"
337,"0,006134","0,022801","0,015387","0,011738",5,"56,060375","3,077301"
338,"0,005296","0,021060","0,008513","0,010496",5,"45,364704","1,702574"
339,"0,006507","0,020214","0,007105","0,013402",5,"47,228551","1,420918"
340,"0,005928","0,017484","0,010438","0,014602",5,"48,451957","2,087625"
341,"0,005399","0,018015","0,007198","0,009215",5,"39,826926","1,439588"
342,"0,006990","0,018922","0,008383","0,013004",5,"47,299401","1,676665"
343,"0,005967","0,017907","0,008379","0,013104",5,"45,356576","1,675744"
344,"0,007575","0,016743","0,007423","0,009727",5,"41,467628","1,484543"
345,"0,006377","0,015696","0,008115","0,012455",5,"42,643033","1,623089"
346,"0,006092","0,018560","0,007360","0,012665",5,"44,676485","1,472005"
347,"0,006430","0,017260","0,008718","0,008418",5,"40,825844","1,743695"
348,"0,007351","0,016738","0,007800","0,008389",5,"40,279486","1,560079"
349,"0,005328","0,018645","0,008963","0,010895",5,"43,830502","1,792561"
350,"0,007316","0,019314","0,007121","0,008574",5,"42,325262","1,424259"
351,"0,005551","0,017852","0,007435","0,008435",5,"39,272024","1,487058"
352,"0,005267","0,017763","0,011479","0,010147",6,"44,655878","1,913166"
353,"0,006671","0,018743","0,008386","0,011679",6,"45,479141","1,397685"
354,"0,005319","0,018303","0,008079","0,008507",6,"40,207293","1,346521"
355,"0,005901","0,016638","0,010888","0,009519",6,"42,945636","1,814645"
356,"0,007815","0,018155","0,009319","0,010382",6,"45,671788","1,553238"
357,"0,006412","0,018060","0,011017","0,010635",6,"46,122685","1,836107"
358,"0,005832","0,017994","0,007910","0,009239",5,"40,975834","1,582057"
359,"0,006623","0,017706","0,007900","0,009108",5,"41,336134","1,580003"
360,"0,005411","0,015805","0,010002","0,010489",5,"41,707700","2,000383"
361,"0,007233","0,019015","0,009894","0,013002",6,"49,144271","1,649071"
362,"0,006247","0,017722","0,009906","0,010386",6,"44,260568","1,650975"
363,"0,006309","0,018493","0,010117","0,009600",6,"44,519266","1,686112"
364,"0,006166","0,017928","0,011573","0,012576",6,"48,241903","1,928857"
365,"0,007224","0,018321","0,008996","0,009653",6,"44,193299","1,499284"
366,"0,006663","0,023232","0,008769","0,009340",6,"48,003397","1,461448"
