Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess
185,"0,005319","0,020127","0,003247","0,005344",3,0,0,0,"2,366304","6,1903","4,623413"
186,"0,005427","0,022648","0,003678","0,006439",3,0,0,0,"3,468275","9,218693","4,385471"
187,"0,006654","0,019555","0,003821","0,00556",3,0,0,0,"2,619743","7,400274","3,885269"
188,"0,005395","0,01898","0,003441","0,006538",3,0,0,0,"2,166271","6,883621","4,662514"
189,"0,005364","0,018638","0,003318","0,005256",3,0,0,0,"2,446413","7,31945","3,543615"
190,"0,005331","0,018026","0,004538","0,006318",3,0,0,0,"2,196074","6,410599","3,830433"
191,"0,005417","0,020159","0,003373","0,006728",3,0,0,0,"2,500772","6,502867","5,336046"
192,"0,005371","0,019862","0,003521","0,007044",3,0,0,0,"4,285812","6,291151","4,205465"
193,"0,005334","0,020507","0,004034","0,006577",3,0,0,0,"2,240658","6,010294","5,046606"
194,"0,005343","0,018434","0,003153","0,006602",3,0,0,0,"2,017021","6,772757","4,252672"
195,"0,006391","0,017148","0,004231","0,005126",3,0,0,0,"2,112627","5,76067","3,655672"
196,"0,007452","0,019335","0,003351","0,00616",3,0,0,0,"2,575874","5,79977","5,743027"
197,"0,005501","0,017522","0,003233","0,005473",3,0,0,0,"2,052069","7,128716","3,65448"
198,"0,007844","0,019519","0,003613","0,006185",3,0,0,0,"2,751827","7,264614","3,764629"
199,"0,005398","0,018015","0,003385","0,004976",3,0,0,0,"2,795935","5,770922","4,651546"
200,"0,005558","0,018047","0,003834","0,006317",3,0,0,0,"2,509117","6,940365","3,786802"
201,"0,005854","0,018654","0,003136","0,005072",3,0,0,0,"2,296686","7,011414","4,027128"
202,"0,005415","0,017794","0,003776","0,007492",3,0,0,0,"2,155304","5,774021","5,410671"
203,"0,005392","0,016777","0,003726","0,006898",3,0,0,0,"2,467394","5,769968","3,865719"
204,"0,006108","0,016552","0,004136","0,0069",3,0,0,0,"2,250671","5,883217","3,727674"
205,"0,005404","0,019219","0,004467","0,006375",3,0,0,0,"2,536774","5,839825","4,731894"
206,"0,005656","0,020522","0,003656","0,006894",3,0,0,0,"2,21467","7,071972","5,697727"
207,"0,005402","0,026662","0,003642","0,006153",2,0,0,0,"4,894733","7,619619","8,390903"
