Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total (ms),Tiempo por Objeto Tracking (ms),Preprocess,Inference,Postprocess,Frames Per Second
110,"0,005984","0,021129","0,007358","0,013830",7,"48,300540","1,051208","2,285719","6,970406","5,628586",
111,"0,005524","0,019603","0,007302","0,015440",9,"47,869461","0,811294","2,701521","5,916595","4,028797",
111,"0,005524","0,019603","0,007302","0,015440",9,"47,869461","0,811294","2,701521","5,916595","4,028797",
112,"0,005247","0,020723","0,006080","0,010462",9,"42,511088","0,675542","2,333164","5,834818","4,430532",
112,"0,005247","0,020723","0,006080","0,010462",9,"42,511088","0,675542","2,333164","5,834818","4,430532",
113,"0,006547","0,019361","0,007538","0,011784",9,"45,229445","0,837515","2,050877","7,056713","3,715754",
113,"0,006547","0,019361","0,007538","0,011784",9,"45,229445","0,837515","2,050877","7,056713","3,715754",
114,"0,005654","0,020090","0,006884","0,014481",9,"47,109006","0,764887","2,616644","5,878687","3,836632",
114,"0,005654","0,020090","0,006884","0,014481",9,"47,109006","0,764887","2,616644","5,878687","3,836632",
115,"0,005335","0,021225","0,007914","0,012748",9,"47,221689","0,879286","2,025843","6,107569","6,952524",
115,"0,005335","0,021225","0,007914","0,012748",9,"47,221689","0,879286","2,025843","6,107569","6,952524",
116,"0,005304","0,021737","0,006322","0,013620",9,"46,982564","0,702406","2,036095","6,627560","4,657984",
116,"0,005304","0,021737","0,006322","0,013620",9,"46,982564","0,702406","2,036095","6,627560","4,657984",
117,"0,009630","0,020935","0,008294","0,012873",10,"51,731919","0,829367","2,186537","6,114721","4,067421",
117,"0,009630","0,020935","0,008294","0,012873",10,"51,731919","0,829367","2,186537","6,114721","4,067421",
118,"0,005359","0,018920","0,006233","0,012327",10,"42,839726","0,623343","2,166986","5,745649","5,034685",
118,"0,005359","0,018920","0,006233","0,012327",10,"42,839726","0,623343","2,166986","5,745649","5,034685",
119,"0,005383","0,021243","0,006524","0,011186",10,"44,335958","0,652433","3,061295","6,774426","3,918886",
119,"0,005383","0,021243","0,006524","0,011186",10,"44,335958","0,652433","3,061295","6,774426","3,918886",
120,"0,006520","0,021687","0,005641","0,008505",10,"42,353666","0,564131","2,360582","6,865978","6,427050",
120,"0,006520","0,021687","0,005641","0,008505",10,"42,353666","0,564131","2,360582","6,865978","6,427050",
121,"0,006004","0,023664","0,006007","0,013764",10,"49,438785","0,600720","2,062321","9,127855","5,173445",
121,"0,006004","0,023664","0,006007","0,013764",10,"49,438785","0,600720","2,062321","9,127855","5,173445",
122,"0,008144","0,021439","0,005380","0,009413",10,"44,376121","0,538013","2,182961","5,893707","4,202127",
122,"0,008144","0,021439","0,005380","0,009413",10,"44,376121","0,538013","2,182961","5,893707","4,202127",
