Frame,Captura,Procesamiento,Tracking(ms),Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms)
235,"0,008503","0,022559","13,922797","0,009017",9,"54,002375","1,546977"
236,"0,006522","0,024016","15,584091","0,009083",11,"55,204737","1,416736"
237,"0,008901","0,023626","16,828662","0,008586",12,"57,941696","1,402389"
238,"0,005872","0,023087","14,579820","0,008058",12,"51,597205","1,214985"
239,"0,005645","0,020929","14,542699","0,009810",12,"50,927800","1,211892"
240,"0,006070","0,022174","15,985455","0,007936",14,"52,165554","1,141818"
241,"0,007172","0,023050","16,334751","0,009244",15,"55,800637","1,088983"
242,"0,005726","0,024259","13,282479","0,008588",13,"51,854657","1,021729"
243,"0,006085","0,021370","13,982576","0,008700",13,"50,137937","1,075583"
244,"0,005588","0,021025","13,189387","0,008404",11,"48,206838","1,199035"
245,"0,006441","0,021161","14,987487","0,009915",11,"52,504481","1,362499"
246,"0,006404","0,024964","12,336260","0,008804",12,"52,508963","1,028022"
247,"0,005205","0,020296","16,561354","0,008729",12,"50,791153","1,380113"
248,"0,005383","0,024936","15,318672","0,009336",11,"54,973973","1,392607"
249,"0,006704","0,023054","13,290544","0,008610",13,"51,658425","1,022350"
250,"0,006186","0,022936","14,549323","0,010992",13,"54,663078","1,119179"
251,"0,006145","0,021185","15,221834","0,008838",13,"51,390380","1,170910"
252,"0,006236","0,022264","13,268494","0,007448",14,"49,216453","0,947750"
253,"0,005447","0,022900","13,750758","0,009469",12,"51,566613","1,145896"
254,"0,006125","0,021036","14,713523","0,008638",11,"50,513027","1,337593"
255,"0,005856","0,022038","12,184060","0,008401",12,"48,479076","1,015338"
256,"0,008581","0,021480","16,533064","0,011920",13,"58,513692","1,271774"
257,"0,005272","0,024413","16,093268","0,016098",12,"61,875546","1,341106"
258,"0,006435","0,024055","16,231130","0,009911",10,"56,631780","1,623113"
259,"0,006374","0,025733","14,778805","0,011579",12,"58,463736","1,231567"
260,"0,005607","0,022571","12,701556","0,008711",12,"49,590936","1,058463"
261,"0,006151","0,020101","15,216842","0,008509",11,"49,977579","1,383349"
262,"0,005921","0,022886","14,888539","0,008968",11,"52,663689","1,353504"
263,"0,006959","0,023221","15,055683","0,009325",12,"54,561217","1,254640"
264,"0,005787","0,023311","16,972509","0,008857",15,"54,927795","1,131501"
265,"0,006927","0,024444","15,478519","0,010242",13,"57,092025","1,190655"
266,"0,007228","0,022544","18,346589","0,011072",13,"59,189819","1,411276"
267,"0,005690","0,027367","18,227160","0,012552",15,"63,835189","1,215144"
268,"0,006192","0,027421","18,493604","0,012866",18,"64,973514","1,027422"
269,"0,005460","0,026172","21,458800","0,011546",20,"64,637563","1,072940"
270,"0,007433","0,026372","19,782625","0,012851",20,"66,438191","0,989131"
271,"0,005591","0,025784","20,239383","0,012653",22,"64,267851","0,919972"
272,"0,005557","0,026263","21,305896","0,011927",21,"65,052366","1,014566"
273,"0,006051","0,027652","21,773566","0,012430",24,"67,906035","0,907232"
274,"0,005741","0,028542","23,839807","0,012018",24,"70,140094","0,993325"
275,"0,005865","0,030121","19,590328","0,013514",23,"69,090764","0,851753"
276,"0,007193","0,027584","19,027006","0,011620",22,"65,425024","0,864864"
277,"0,005872","0,027657","19,280009","0,013279",20,"66,086847","0,964000"
278,"0,005905","0,026531","19,179844","0,019121",22,"70,736376","0,871811"
279,"0,005501","0,027937","18,153109","0,012675",21,"64,266858","0,864434"
280,"0,008823","0,030680","19,560343","0,013033",20,"72,095834","0,978017"
281,"0,006768","0,026672","21,252709","0,013580",22,"68,272804","0,966032"
282,"0,005523","0,031439","17,987341","0,013721",23,"68,670073","0,782058"
283,"0,005378","0,027379","18,534342","0,014815",22,"66,106656","0,842470"
284,"0,005835","0,025505","23,717562","0,013731",22,"68,789214","1,078071"
285,"0,007878","0,029032","19,832291","0,013073",21,"69,815661","0,944395"
286,"0,006630","0,027384","21,844033","0,012773",23,"68,631061","0,949741"
287,"0,005996","0,027324","18,026702","0,012848",22,"64,195013","0,819396"
288,"0,007086","0,025568","20,512900","0,010385",23,"63,552391","0,891865"
289,"0,006988","0,027798","16,736562","0,014419",19,"65,941976","0,880872"
290,"0,005768","0,023777","23,122334","0,011911",21,"64,578233","1,101064"
291,"0,005351","0,028786","20,558693","0,012280",21,"66,975912","0,978985"
292,"0,006255","0,028920","20,869108","0,011731",22,"67,774894","0,948596"
293,"0,005347","0,027179","20,275704","0,012224",21,"65,024686","0,965510"
294,"0,005601","0,027124","17,638972","0,011764",21,"62,127524","0,839951"
295,"0,005484","0,025295","18,619274","0,012171",22,"61,569131","0,846331"
296,"0,007470","0,028888","19,727838","0,012646",21,"68,731419","0,939421"
297,"0,006301","0,026733","18,037455","0,013071",20,"64,143107","0,901873"
298,"0,005775","0,025043","17,931434","0,011045",22,"59,795031","0,815065"
299,"0,005503","0,026553","19,128322","0,012194",23,"63,378496","0,831666"
300,"0,006161","0,026294","24,000103","0,010764",22,"67,218964","1,090914"
301,"0,005611","0,029361","20,505731","0,011907",21,"67,384507","0,976463"
302,"0,007326","0,028791","17,325133","0,013123",22,"66,564693","0,787506"
303,"0,008635","0,024464","19,306283","0,013080",20,"65,486020","0,965314"
304,"0,008483","0,027374","18,335485","0,012006",21,"66,198661","0,873118"
305,"0,005778","0,025580","18,820180","0,011626",19,"61,803638","0,990536"
306,"0,005818","0,025440","14,888699","0,012967",17,"59,113622","0,875806"
307,"0,005521","0,023816","14,278590","0,010723",17,"54,338358","0,839917"
308,"0,006558","0,023492","17,651037","0,010856",17,"58,557918","1,038296"
309,"0,005640","0,026010","16,311645","0,011583",18,"59,544907","0,906203"
310,"0,005736","0,025187","19,442417","0,012665",17,"63,030672","1,143672"
311,"0,005432","0,027248","21,871042","0,011936",17,"66,486833","1,286532"
312,"0,006171","0,028972","18,290491","0,008573",18,"62,006623","1,016138"
313,"0,007192","0,027821","22,205715","0,011770",17,"68,988551","1,306219"
314,"0,005795","0,030842","24,412955","0,012456",18,"73,504860","1,356275"
315,"0,006989","0,035169","28,686595","0,023860",17,"94,704447","1,687447"
316,"0,006823","0,032294","28,874284","0,015410",16,"83,402093","1,804643"
317,"0,007488","0,037453","19,065983","0,011905",15,"75,910700","1,271066"
318,"0,008866","0,027647","17,374576","0,011108",15,"64,996267","1,158305"
