Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total (ms),Tiempo por Objeto Tracking (ms),Preprocess,Inference,Postprocess
244,"0,009879","0,034623","0,004130","0,006834",4,"55,466790","1,032600","3,782988","13,949871","9,660721"
245,"0,006301","0,041584","0,003859","0,007395",4,"59,139248","0,964789","2,167940","24,808645","5,583048"
246,"0,006104","0,029086","0,003873","0,007610",4,"46,673711","0,968357","4,122972","12,152672","5,362749"
247,"0,008497","0,026378","0,003884","0,007989",4,"46,748465","0,971045","2,246141","6,481647","4,367590"
248,"0,005354","0,042833","0,004150","0,007734",4,"60,071291","1,037536","2,810478","23,878813","6,453991"
249,"0,008258","0,028261","0,004699","0,011699",4,"52,917969","1,174734","3,830671","10,230541","6,269217"
250,"0,005535","0,041365","0,003730","0,007449",4,"58,079551","0,932427","2,499104","24,629354","5,270958"
251,"0,007435","0,029942","0,008031","0,006570",4,"51,976997","2,007653","3,390312","12,341738","6,227493"
252,"0,005279","0,026622","0,003629","0,006820",4,"42,349832","0,907186","2,991438","6,644487","4,099369"
253,"0,005355","0,048382","0,004586","0,007030",4,"65,352912","1,146469","6,625175","24,765968","7,559538"
254,"0,007448","0,025094","0,003981","0,006605",4,"43,127786","0,995342","4,324436","8,901358","4,998922"
255,"0,005235","0,035096","0,004355","0,007542",4,"52,227632","1,088754","2,243757","7,787466","3,860712"
256,"0,009894","0,046512","0,004527","0,005733",4,"66,665260","1,131684","2,972603","23,752451","5,862713"
257,"0,005900","0,022373","0,004738","0,008316",4,"41,327992","1,184439","5,173445","7,532835","4,732132"
258,"0,007331","0,040614","0,005561","0,007647",5,"61,152494","1,112192","2,331972","26,229858","5,192995"
