CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,mJ,Total_mJ,Total_J,Total_Time_s,average_mW,average_GPU_Usage_%,average_CPU_Usage_%,CV_mW
7,15,0,0,91,0,8,21,2264,2261,2264,2264,2260,2264,2264,2264,0,318,774,2631,2631,309,3120,9465,57,,,,,,,
8,15,0,0,69,7,0,9,2264,2263,2265,2267,2261,2264,2263,2262,0,318,774,2631,2631,464,3160,9660,58,,,,,,,0.0
0,15,8,8,90,0,16,8,2264,2263,2264,2264,2264,2262,2264,2261,0,318,774,2631,2631,309,3120,9465,57,,,,,,,0.0
9,0,7,7,76,8,8,0,2263,2264,2264,2254,2271,2264,2263,2264,0,318,774,2631,2631,464,3120,9620,57,,,,,,,0.0
8,0,0,16,81,0,8,0,2261,2264,2264,2258,2264,2263,2264,2265,80,318,774,2477,2631,464,3120,9466,57,,,,,,,0.0
23,0,75,0,91,7,8,38,2264,2264,2261,2261,2264,2265,2264,2264,0,318,774,2940,2630,464,3120,9928,59,,,,,,,0.0
33,0,69,23,66,18,25,38,2264,2257,2264,2263,2262,2264,2262,2266,0,318,773,3403,2785,464,3160,10585,63,,,,,,,0.0
15,8,0,0,7,83,0,0,2262,2264,2264,2268,2264,2262,2261,2264,3,318,773,3249,2630,464,3160,10276,61,,,,,,,0.0
16,7,0,15,7,83,0,0,2264,2267,2269,2263,2258,2263,2263,2263,0,318,773,3095,2630,464,3160,10122,61,,,,,,,0.0
0,8,8,0,83,8,7,0,2264,2263,2264,2263,2265,2264,2258,2264,86,318,773,2940,2630,464,3160,9967,60,,,,,,,0.0
23,0,8,8,83,0,0,0,2263,2258,2264,2264,2265,2264,2263,2264,0,318,773,2785,2630,464,3120,9772,58,,,,,,,0.0
8,0,8,8,72,16,7,15,2264,2264,2265,2265,2264,2262,2264,2264,22,318,773,2785,2630,464,3160,9812,59,,,,,,,0.0
0,0,0,15,91,0,0,0,2265,2266,2266,2264,2263,2264,2262,2264,0,318,773,2630,2630,464,3120,9617,57,,,,,,,0.0
7,0,0,9,76,0,8,9,2263,2265,2264,2263,2265,2263,2264,2269,10,318,774,2630,2630,464,3160,9658,58,,,,,,,0.0
0,0,15,0,83,0,0,14,2262,2264,2262,2262,2264,2264,2264,2263,22,318,774,2477,2631,464,3120,9466,57,,,,,,,0.0
8,0,0,9,83,8,15,15,2263,2261,2265,2265,2262,2264,2264,2264,0,318,774,2477,2631,309,3120,9311,56,,,,,,,
